hi everybody my name is Jim Clark uh I (start: 6.798, duration: 5.719)
am a member of Docker Labs we are (start: 9.119, duration: 6.960)
working on Innovation at at Docker um (start: 12.519, duration: 5.519)
You probably saw some of our some of our (start: 16.079, duration: 4.000)
talks today we&#39;ve been working on AIML (start: 18.038, duration: 4.801)
dock debug I&#39;ve been doing some research (start: 20.079, duration: 6.639)
over the past six months I guess on ncks (start: 22.840, duration: 6.800)
and I have to say besides llms which (start: 26.719, duration: 4.840)
have been like an exciting and big part (start: 29.639, duration: 4.238)
of our uh of our of our work for the (start: 31.559, duration: 4.400)
last for the last while NY has actually (start: 33.879, duration: 5.000)
had a really big influence on the way (start: 35.959, duration: 4.118)
I&#39;ve been working maybe one of the (start: 38.879, duration: 3.321)
bigger influences uh over the over the (start: 40.078, duration: 3.921)
last year so I&#39;m kind of excited to look (start: 42.200, duration: 4.079)
out and get an opportunity to see people (start: 44.000, duration: 4.559)
who are either using nxs today or (start: 46.279, duration: 5.400)
hopefully we&#39;ll be using uh nxs tomorrow (start: 48.558, duration: 5.639)
so I&#39;m excited I&#39;m I&#39;m a Nick&#39;s (start: 51.680, duration: 5.320)
Enthusiast but relatively new just just (start: 54.199, duration: 4.921)
been using it in the last year so I&#39;m (start: 57.000, duration: 4.840)
I&#39;m excited to have Tom uh he is maybe (start: 59.119, duration: 4.399)
not a NYX Enthusiast what would you call (start: 61.840, duration: 3.678)
yourself uh I think I&#39;m more in the (start: 63.519, duration: 3.960)
category of nxs fanatic at this point (start: 65.518, duration: 4.239)
there&#39;s no going back um but yeah my (start: 67.478, duration: 4.520)
name is Tom bney um director of Labs at (start: 69.759, duration: 3.960)
flocks where we&#39;re trying to kind of (start: 72.000, duration: 3.519)
figure out what this set of superpowers (start: 73.720, duration: 3.078)
are and how do we bring them to the (start: 75.519, duration: 3.638)
world how do we figure out how to expose (start: 76.799, duration: 5.201)
them present them in a usable way and uh (start: 79.158, duration: 5.761)
that&#39;s really our uh Mission so I think (start: 82.000, duration: 4.679)
uh let&#39;s get (start: 84.919, duration: 3.559)
started okay (start: 86.680, duration: 4.360)
agenda um I think it&#39;s going to be (start: 88.478, duration: 5.480)
easiest to talk about where we are today (start: 91.040, duration: 4.000)
because we&#39;re going to talk about (start: 93.959, duration: 4.239)
content today and so we build content (start: 95.040, duration: 5.960)
for Docker using Docker images Docker (start: 98.199, duration: 7.039)
files these are great I obviously um (start: 101.000, duration: 6.078)
I&#39;ll I&#39;ll speak from the docker file and (start: 105.239, duration: 4.559)
Docker perspective in this talk um they (start: 107.079, duration: 4.881)
do we we&#39;re going to admit some (start: 109.799, duration: 4.841)
limitations to them and I I I hopefully (start: 111.959, duration: 6.719)
will you&#39;ll you&#39;ll see in our examples (start: 114.639, duration: 6.039)
how you over overcome some of these (start: 118.680, duration: 4.000)
limitations today I want to kind of (start: 120.680, duration: 4.199)
impress upon you the idea that NYX is (start: 122.680, duration: 4.718)
another option that we have here this (start: 124.879, duration: 4.960)
adopting a declarative approach and how (start: 127.399, duration: 4.840)
we can use Docker and Nyx together is (start: 129.839, duration: 3.920)
the thing that we really want to (start: 132.238, duration: 3.121)
everybody to get out of this out of this (start: 133.759, duration: 3.759)
talk today and at the end we&#39;ve got a (start: 135.360, duration: 4.158)
little bit of a call to action because (start: 137.518, duration: 3.200)
there are some actually really (start: 139.518, duration: 3.280)
interesting opportunities that we have (start: 140.720, duration: 4.320)
to bring a new way of using both Docker (start: 142.800, duration: 4.078)
and Nyx together and we&#39;re kind of like (start: 145.039, duration: 3.359)
interested in what whether whether (start: 146.878, duration: 3.520)
people want to join us on that (start: 148.399, duration: 3.720)
yep so the the point here is to kind of (start: 150.399, duration: 3.519)
get some interest and also then take (start: 152.119, duration: 3.198)
that interest or momentum and go to the (start: 153.919, duration: 2.839)
next (start: 155.319, duration: 3.640)
steps okay so let&#39;s start with Docker (start: 156.759, duration: 5.920)
files that&#39;s where we are today and uh (start: 158.958, duration: 6.040)
that the the picture that you&#39;ll all be (start: 162.679, duration: 4.839)
familiar with here (start: 165.000, duration: 6.598)
is our mental model of how we build (start: 167.518, duration: 6.881)
content in images so we have Docker (start: 171.598, duration: 5.761)
files Docker files produce layers that (start: 174.399, duration: 4.800)
relationship between an instruction and (start: 177.360, duration: 4.480)
a layer is is one to one we all think (start: 179.199, duration: 5.079)
about this as a stack you start you (start: 181.839, duration: 4.959)
start with your operating system you (start: 184.279, duration: 4.840)
start to you do things at the end of (start: 186.798, duration: 4.519)
doing something you take a snapshot and (start: 189.119, duration: 4.360)
you keep you keep building these layers (start: 191.319, duration: 4.280)
one by one until you&#39;ve you&#39;ve got your (start: 193.479, duration: 4.599)
entire image so I kind of want to set (start: 195.598, duration: 4.401)
this ground this ground work because (start: 198.080, duration: 3.119)
this is where we&#39;re start this is where (start: 200.000, duration: 3.000)
we are right now and we&#39;re going to (start: 201.199, duration: 4.039)
start to kind of like look at how we (start: 203.000, duration: 4.360)
might change that to get a few (start: 205.238, duration: 4.960)
improvements to our to our workflow yeah (start: 207.360, duration: 4.879)
it&#39;s important to note that this model (start: 210.199, duration: 4.639)
it works it&#39;s simple it gives you a good (start: 212.238, duration: 4.401)
mental model that mental model is is (start: 214.839, duration: 4.000)
actually somewhat accurate and that (start: 216.639, duration: 4.280)
means that it doesn&#39;t leak or cause (start: 218.839, duration: 3.799)
problems very often but there are some (start: 220.919, duration: 5.519)
limitations so let&#39;s talk about some of (start: 222.639, duration: 8.519)
those right so um I I&#39;m not going to (start: 226.438, duration: 6.921)
talk about like why we like Docker files (start: 231.158, duration: 3.561)
we all like Docker files it&#39;s a great (start: 233.360, duration: 3.598)
way of getting getting our content into (start: 234.720, duration: 6.238)
into into our images um (start: 236.958, duration: 6.080)
what what I&#39;ll talk a little bit about (start: 240.958, duration: 6.600)
is how do we share them and when you&#39;re (start: 243.039, duration: 6.880)
when you&#39;re thinking about the a Docker (start: 247.559, duration: 4.318)
file that you&#39;ve made and is working (start: 249.919, duration: 4.480)
great how do you how do you treat that (start: 251.878, duration: 4.880)
like a like something like a library (start: 254.399, duration: 4.078)
that you get to share with other people (start: 256.759, duration: 4.560)
how do you manage or or maybe I&#39;ll ask (start: 258.479, duration: 4.881)
it this way have you ever had the (start: 261.320, duration: 3.640)
experience where you kind of know that (start: 263.359, duration: 4.199)
you&#39;ve maybe put a little bit too much (start: 264.959, duration: 5.599)
into into one of your Docker images (start: 267.559, duration: 7.719)
um best practices the you the first (start: 270.559, duration: 6.880)
Docker file you write doesn&#39;t look a lot (start: 275.279, duration: 4.119)
like the last Docker file you write (start: 277.440, duration: 4.758)
there is a journey there and those best (start: 279.399, duration: 4.920)
practices when we when we learn them I (start: 282.199, duration: 4.440)
mean our images get better we have an (start: 284.320, duration: 4.280)
understanding of where you start where (start: 286.639, duration: 4.160)
you end how do we encapsulate those best (start: 288.600, duration: 6.239)
practices and finally um supply chain (start: 290.799, duration: 6.360)
considerations yeah this a topic that&#39;s (start: 294.839, duration: 3.759)
coming up more and more often there&#39;s (start: 297.160, duration: 3.200)
more interest in Supply fly chain and Es (start: 298.600, duration: 3.400)
